job_title,company_name,city,salary_raw,salary_min,salary_max,salary_avg,post_date,job_url,skills,ai_level,product_type,tools,enhance_source
AIGC,东风汽车集团,武汉·武汉经济开发区,1.5-3万,15.0,30.0,22.5,2026-03-19 17:24:05,https://jobs.51job.com/wuhan-whjj/169281621.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,苏州千万职联科技,武汉·黄陂区,1.5-2万,15.0,20.0,17.5,2026-03-20 15:14:24,https://jobs.51job.com/wuhan-hpq/171175501.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理（可培养发展）,大未来（南京）文化科技,大连,7-9千,7.0,9.0,8.0,2026-03-19 19:14:59,https://jobs.51job.com/dalian/170594137.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
ai模型训练专员,贵州聚汇达科技,贵阳·云岩区,5-8千,5.0,8.0,6.5,2026-03-20 11:18:22,https://jobs.51job.com/guiyang-yyq/171167655.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
3D建模设计,湖南州旭塑胶,怀化,3.5-7千,3.5,7.0,5.25,2026-03-20 11:37:49,https://jobs.51job.com/huaihua/171168169.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
工业设计实习生,江苏特普达服务外包,常州,4-5千,4.0,5.0,4.5,2026-03-20 14:32:20,https://jobs.51job.com/changzhou/171173515.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,武汉市胜意科技发展,武汉·江夏区,1.2-2万,12.0,20.0,16.0,2026-03-20 11:31:42,https://jobs.51job.com/wuhan-jxq/171168836.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
PPT设计师-线上兼职-按单日结,湖北省星致远电子商务,,200元/天,,,,2026-03-20 13:00:38,https://jobs.51job.com/all/171170687.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,北京中科致远科技,北京·海淀区,1.2-2.4万·14薪,12.0,24.0,18.0,2026-03-19 17:08:22,https://jobs.51job.com/beijing-hdq/160340981.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI智能体开发工程师(J10305),普联软件,济南·高新区,1-2万,10.0,20.0,15.0,2026-03-19 20:02:59,https://jobs.51job.com/jinan-gxq/171160743.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用开发工程师,广东华智科技,广州·黄埔区,1.5-3万,15.0,30.0,22.5,2026-03-19 10:37:58,https://jobs.51job.com/guangzhou-hpq/170877695.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
PPT设计师-线上兼职-按单日结,湖北省星致远电子商务,,200元/天,,,,2026-03-20 13:18:50,https://jobs.51job.com/all/171171255.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品实习生-Data AML,字节跳动,深圳,5-7千,5.0,7.0,6.0,2026-03-22 01:58:57,https://jobs.51job.com/shenzhen/171154365.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用工程师,广州优倍国际物流,广州·天河区,8千-1.2万,8.0,12.0,10.0,2026-03-20 09:41:07,https://jobs.51job.com/guangzhou-thq/171132767.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,深圳钛丰电子商务,深圳·光明区,1-1.2万,10.0,12.0,11.0,2026-03-19 10:58:45,https://jobs.51job.com/shenzhen-gmq/171141625.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
PPT设计师-线上兼职-按单日结,湖北省星致远电子商务,,200元/天,,,,2026-03-20 13:16:00,https://jobs.51job.com/all/171171189.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI新工业算力工程师,上海生大医保,上海·嘉定区,1.5-1.7万,15.0,17.0,16.0,2026-03-19 09:39:35,https://jobs.51job.com/shanghai-jdq/171138013.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI 人工智能应用工程师,古近纪（上海）国际贸易,上海·普陀区,1-2万,10.0,20.0,15.0,2026-03-18 21:06:12,https://jobs.51job.com/shanghai-ptq/171135223.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品专员,深圳钛丰电子商务,深圳·光明区,8千-1万,8.0,10.0,9.0,2026-03-19 09:52:58,https://jobs.51job.com/shenzhen-gmq/171138589.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
计算机应届生,深圳金昱轩科技,深圳·龙岗区,5.5-6.5千,5.5,6.5,6.0,2026-03-19 15:56:20,https://jobs.51job.com/shenzhen-lgq/171148200.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI产品经理,燧浦（上海）智能科技,苏州,1.2-1.6万,12.0,16.0,14.0,2026-03-19 21:57:17,https://jobs.51job.com/suzhou/171161632.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
deepseek人工智能,深圳华优尔立信息科技,深圳·龙岗区,4-6千,4.0,6.0,5.0,2026-03-20 10:18:30,https://jobs.51job.com/shenzhen-lgq/171165664.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI大模型VLM数据标注（重庆）,上海华泛信息服务有限公司武汉,重庆·两江新区,4-5千,4.0,5.0,4.5,2026-03-19 15:35:59,https://jobs.51job.com/chongqing-ljxq/171151866.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI产品助理,燧浦（上海）智能科技,苏州,8-9千,8.0,9.0,8.5,2026-03-19 21:50:39,https://jobs.51job.com/suzhou/171161608.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI数据标注师/训练师,四川川贝科技,成都·武侯区,4-6千,4.0,6.0,5.0,2026-03-19 11:12:56,https://jobs.51job.com/chengdu-whq/171142440.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI应用师,宁波途锐达休闲用品,宁波·鄞州区,8千-1.5万,8.0,15.0,11.5,2026-03-19 13:28:44,https://jobs.51job.com/ningbo-yzq/171146233.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
市场运营专员 AI应用推广,江苏奥立信数字科技,无锡·新吴区,8千-1.3万,8.0,13.0,10.5,2026-03-19 10:38:42,https://jobs.51job.com/wuxi-xwq/171140725.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
游戏项目管理,深圳市法本信息技术,深圳·南山区,8千-1.1万,8.0,11.0,9.5,2026-03-18 18:03:34,https://jobs.51job.com/shenzhen-nsq/171133512.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI文字分镜,南京触手科技,南京·秦淮区,6千-1.1万·13薪,6.0,11.0,8.5,2026-03-19 11:56:01,https://jobs.51job.com/nanjing-qhq/171144489.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
美术标注实习生,成都市众鑫易乐网络科技,成都,120元/天,,,,2026-03-18 16:25:42,https://jobs.51job.com/chengdu/171129229.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI测试助理,深圳星途教育科技,贵阳,5.5-8.5千,5.5,8.5,7.0,2026-03-18 16:53:24,https://jobs.51job.com/guiyang/171130366.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
Rhion建模师,郑州灵点一设计,郑州·上街区,4-7千,4.0,7.0,5.5,2026-03-19 08:44:20,https://jobs.51job.com/shangjiequ/164812218.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI应用专员,浙江凯迪汽车部件工业,湖州·长兴县,5-7千,5.0,7.0,6.0,2026-03-19 14:09:42,https://jobs.51job.com/huzhou-cxx/171147767.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
